chain,n,different_weights,beta_max,epsilon,algorithm,sample_complexity,TPAsteps,true_Q,estimate_Q,error
logical,3,7,0.1,0.075,Kolmogorov,2558012,75922,1.379741516891444,1.3793545587946694,-0.0002804569493903841
logical,3,7,0.1,0.05,Kolmogorov,9816111,86811,1.379741516891444,1.3807945249376143,0.0007631922597668428
logical,3,7,0.1,0.04,Kolmogorov,10346924,88988,1.379741516891444,1.3797085313336064,-2.3907056092564716e-05
logical,3,7,0.1,0.025,Kolmogorov,24904784,90272,1.379741516891444,1.3804339125753966,0.0005018299989352215
logical,3,7,0.1,0.01,Kolmogorov,147235959,94311,1.379741516891444,1.3810004442262085,0.00091243709010147
logical,3,7,0.1,0.1,Kolmogorov,1897311,67791,1.379741516891444,1.3822421455357876,0.001812389214740362
logical,3,7,0.1,0.075,Kolmogorov,3090690,78876,1.379741516891444,1.3801497071931565,0.0002958454875172656
logical,3,7,0.1,0.05,Kolmogorov,4584659,76463,1.379741516891444,1.3805596050379776,0.0005929285569203913
logical,3,7,0.1,0.04,Kolmogorov,10288266,83370,1.379741516891444,1.381331674092075,0.0011525036980937209
logical,3,7,0.1,0.025,Kolmogorov,30537983,91055,1.379741516891444,1.380395992335017,0.00047434641602128735
logical,3,7,0.1,0.01,Kolmogorov,264018374,105374,1.379741516891444,1.3804666437544162,0.0005255526880179051
logical,3,7,0.1,0.1,Kolmogorov,1104516,65940,1.379741516891444,1.3814605728314404,0.0012459260803208139
logical,3,7,0.1,0.075,Kolmogorov,2572521,74571,1.379741516891444,1.3805358294013206,0.0005756966070471492
logical,3,7,0.1,0.05,Kolmogorov,5687099,83711,1.379741516891444,1.3807394793402528,0.0007232966730299495
logical,3,7,0.1,0.04,Kolmogorov,10139055,82671,1.379741516891444,1.3809349238822872,0.0008649496853092575
logical,3,7,0.1,0.025,Kolmogorov,33960473,86273,1.379741516891444,1.3815100347929608,0.0012817747961235693
logical,3,7,0.1,0.01,Kolmogorov,254429234,98306,1.379741516891444,1.3810801236986492,0.0009701866551214966
logical,3,7,0.1,0.1,Kolmogorov,2201822,76622,1.379741516891444,1.379969412128809,0.00016517241423485984
logical,3,7,0.1,0.075,Kolmogorov,3195692,82374,1.379741516891444,1.3808425283971206,0.0007979838920533222
logical,3,7,0.1,0.05,Kolmogorov,8348434,79390,1.379741516891444,1.3805341349197635,0.0005744684918269627
logical,3,7,0.1,0.04,Kolmogorov,7340082,84210,1.379741516891444,1.3801060011531014,0.0002641685106923308
logical,3,7,0.1,0.025,Kolmogorov,26760727,86455,1.379741516891444,1.3808265110840758,0.0007863749690422139
logical,3,7,0.1,0.01,Kolmogorov,210904828,99244,1.379741516891444,1.3802944016234284,0.0004007161669166148
logical,3,7,0.1,0.1,Kolmogorov,1779508,84892,1.379741516891444,1.3800178613534142,0.000200287125223797
logical,3,7,0.1,0.075,Kolmogorov,2640219,72485,1.379741516891444,1.3800574372976058,0.0002289707182787648
logical,3,7,0.1,0.05,Kolmogorov,7070477,82601,1.379741516891444,1.3801421881647833,0.0002903958954878494
logical,3,7,0.1,0.04,Kolmogorov,9293897,86153,1.379741516891444,1.3797801704617445,2.8015080960619443e-05
logical,3,7,0.1,0.025,Kolmogorov,23173278,85686,1.379741516891444,1.3808880595228263,0.0008309836424764683
logical,3,7,0.1,0.01,Kolmogorov,190601328,96744,1.379741516891444,1.3806233358906495,0.0006391189859911162
logical,3,7,0.1,0.1,Kolmogorov,1754926,75094,1.379741516891444,1.381474914475955,0.001256320523293608
logical,3,7,0.1,0.075,Kolmogorov,3749903,78313,1.379741516891444,1.3821082691250948,0.0017153591485621345
logical,3,7,0.1,0.05,Kolmogorov,6641033,80213,1.379741516891444,1.3812244133128677,0.0010747639345989324
logical,3,7,0.1,0.04,Kolmogorov,9962780,86732,1.379741516891444,1.3798539760415045,8.150740459988981e-05
logical,3,7,0.1,0.025,Kolmogorov,28721126,80822,1.379741516891444,1.3802735413804543,0.00038559721694042537
logical,3,7,0.1,0.01,Kolmogorov,260934184,106936,1.379741516891444,1.38032138452438,0.0004202726567528181
